Age,Gender,Location,Income,Owns Property,Profession,Platform,Total Time Spent,Number of Sessions,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,Productivity Loss,Satisfaction,Watch Reason,Device Type,OS,Watch Time,Self Control,Current Activity,Connection Type,Age Group,Actual,Predicted
56,Female,India,90202,False,Waiting staff,Instagram,13,2,9393,4,7,40,67,Night,3,7,Entertainment,Smartphone,iOS,,5,At home,Wi-Fi,50+,5,5
51,Other,Pakistan,20159,False,Students,YouTube,130,8,3342,2,12,3,96,Night,8,2,Boredom,Smartphone,Windows,,10,At home,Mobile Data,50+,0,0
39,Male,Germany,83115,False,Engineer,Instagram,240,11,1454,9,4,13,59,Night,3,7,Procrastination,Tablet,Android,,5,At school,Mobile Data,36-50,5,5
38,Male,Japan,52441,True,Students,YouTube,88,2,4103,5,29,34,1,Evening,8,2,Entertainment,Smartphone,MacOS,,10,At work,Wi-Fi,36-50,0,0
52,Male,Japan,84047,False,Waiting staff,Instagram,123,11,3759,5,2,15,82,Night,2,8,Boredom,Tablet,iOS,,4,At school,Wi-Fi,50+,6,6
56,Male,India,46201,False,Students,TikTok,247,5,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,,10,At school,Wi-Fi,50+,0,0
25,Male,Philippines,40074,False,Artist,Instagram,189,10,3465,2,27,30,12,Afternoon,5,5,Procrastination,Tablet,Android,,7,At home,Mobile Data,18-25,3,3
46,Female,Mexico,27999,True,Artist,Instagram,228,14,5944,6,25,31,46,Afternoon,5,5,Habit,Computer,Android,,7,At school,Wi-Fi,36-50,3,3
34,Male,Vietnam,57713,True,Manager,YouTube,78,9,1620,2,29,38,23,Evening,3,7,Entertainment,Tablet,iOS,,5,At work,Mobile Data,26-35,5,5
18,Female,Pakistan,83671,False,Students,TikTok,225,4,8708,8,4,15,96,Afternoon,6,4,Habit,Computer,MacOS,,8,At home,Mobile Data,<18,2,2
37,Female,Germany,96975,True,driver,TikTok,248,11,1308,2,10,21,68,Night,3,7,Habit,Smartphone,iOS,,5,At home,Wi-Fi,36-50,5,5
37,Male,United States,97988,True,Engineer,TikTok,288,10,6324,1,17,7,96,Evening,5,5,Habit,Smartphone,Windows,,7,At school,Wi-Fi,36-50,3,3
53,Other,Japan,73161,False,Teacher,Facebook,181,1,8367,1,11,20,5,Morning,7,3,Boredom,Smartphone,Windows,,9,At school,Mobile Data,50+,1,1
55,Female,Pakistan,95948,False,Teacher,YouTube,267,11,771,4,13,27,22,Night,3,7,Entertainment,Computer,MacOS,,5,At work,Mobile Data,50+,5,5
63,Female,Mexico,88026,False,Labor/Worker,YouTube,129,8,3280,8,29,24,63,Night,1,9,Procrastination,Tablet,iOS,,3,At home,Wi-Fi,50+,7,7
61,Male,United States,79500,True,Students,TikTok,207,17,9692,9,18,1,53,Night,1,9,Habit,Smartphone,Android,,3,At home,Mobile Data,50+,7,7
51,Female,Japan,54542,False,driver,YouTube,189,8,8463,2,5,31,8,Evening,7,3,Entertainment,Smartphone,iOS,,9,Commuting,Wi-Fi,50+,1,1
48,Male,Philippines,57346,False,Engineer,YouTube,172,1,7292,2,16,49,33,Evening,6,4,Boredom,Smartphone,Windows,,8,Commuting,Wi-Fi,36-50,2,2
39,Other,Japan,77828,False,Students,Facebook,61,1,8400,8,6,17,13,Night,3,7,Boredom,Smartphone,Windows,,5,At work,Mobile Data,36-50,5,5
39,Male,Japan,43252,True,Students,YouTube,246,14,7546,1,22,44,61,Evening,6,4,Habit,Smartphone,Android,,8,Commuting,Mobile Data,36-50,2,2
23,Male,Mexico,48933,True,Engineer,YouTube,62,11,7630,7,22,24,60,Morning,8,2,Boredom,Tablet,Android,,10,At school,Mobile Data,18-25,0,0
23,Male,Pakistan,39595,True,Students,Instagram,278,1,5056,5,28,26,50,Night,1,9,Habit,Smartphone,Android,,3,At home,Mobile Data,18-25,7,7
40,Female,India,57437,True,Students,TikTok,41,6,6361,2,19,34,53,Morning,9,1,Boredom,Tablet,Windows,,10,At home,Mobile Data,36-50,0,0
54,Female,United States,70952,True,Waiting staff,Facebook,216,11,356,1,9,29,9,Afternoon,5,5,Habit,Smartphone,MacOS,,7,At work,Wi-Fi,50+,3,3
52,Other,United States,86321,True,Cashier,TikTok,180,5,1149,3,18,20,77,Night,1,9,Entertainment,Tablet,Windows,,3,At work,Mobile Data,50+,7,7
45,Other,United States,37569,False,driver,Facebook,34,16,6574,9,6,5,18,Evening,6,4,Boredom,Smartphone,Android,,8,At home,Wi-Fi,36-50,2,2
48,Male,Mexico,92702,False,Students,Facebook,115,2,1088,5,5,11,81,Night,1,9,Habit,Tablet,Android,,3,At work,Mobile Data,36-50,7,7
27,Other,United States,27461,True,Artist,TikTok,155,8,8890,8,4,29,68,Afternoon,6,4,Habit,Smartphone,iOS,,8,At home,Mobile Data,26-35,2,2
30,Female,United States,41826,True,Labor/Worker,Instagram,140,15,4107,2,12,22,1,Evening,5,5,Habit,Smartphone,Android,,7,At home,Mobile Data,26-35,3,3
54,Male,India,49033,False,driver,Facebook,96,4,5008,4,23,1,27,Evening,6,4,Boredom,Smartphone,MacOS,,8,At work,Mobile Data,50+,2,2
51,Female,India,31590,False,Waiting staff,Instagram,51,14,3007,1,5,8,76,Night,1,9,Entertainment,Smartphone,Android,,3,At home,Mobile Data,50+,7,7
43,Female,Brazil,53870,True,Students,Instagram,150,14,5004,2,11,48,5,Night,6,4,Boredom,Smartphone,iOS,,8,At school,Wi-Fi,36-50,2,2
18,Male,Pakistan,53154,True,Manager,Facebook,11,8,8792,9,16,28,14,Afternoon,6,4,Entertainment,Computer,iOS,,8,At school,Mobile Data,<18,2,2
42,Female,Vietnam,31120,True,Waiting staff,Facebook,41,13,7879,4,25,7,27,Night,3,7,Habit,Smartphone,Android,,5,At work,Wi-Fi,36-50,5,5
25,Male,Japan,63355,True,Manager,Instagram,230,4,5229,7,7,18,32,Night,3,7,Procrastination,Smartphone,Android,,5,At work,Mobile Data,18-25,5,5
19,Female,Philippines,21283,False,driver,Facebook,129,11,3909,4,4,46,56,Morning,8,2,Habit,Computer,MacOS,,10,At home,Mobile Data,18-25,0,0
20,Male,United States,37015,True,Labor/Worker,TikTok,127,17,8771,8,5,48,47,Night,3,7,Entertainment,Tablet,Android,,5,At home,Mobile Data,18-25,5,5
45,Male,United States,94971,False,Students,Facebook,207,8,7663,7,29,38,87,Afternoon,5,5,Habit,Smartphone,Android,,7,At home,Mobile Data,36-50,3,3
54,Other,Brazil,83870,False,Labor/Worker,TikTok,97,15,908,5,29,19,98,Night,3,7,Habit,Tablet,iOS,,5,At home,Mobile Data,50+,5,5
62,Female,United States,43481,False,Students,Facebook,19,10,4364,4,8,22,89,Night,3,7,Boredom,Smartphone,MacOS,,5,At work,Mobile Data,50+,5,5
43,Male,India,32180,False,Labor/Worker,TikTok,195,8,8097,3,18,34,77,Morning,8,2,Boredom,Tablet,Android,,10,At home,Mobile Data,36-50,0,0
27,Male,Philippines,83922,True,Labor/Worker,TikTok,179,4,6255,1,10,3,93,Afternoon,4,6,Entertainment,Smartphone,Android,,6,At home,Mobile Data,26-35,4,4
49,Male,Pakistan,45150,True,Waiting staff,TikTok,48,4,918,6,28,35,94,Evening,6,4,Habit,Smartphone,Android,,8,At home,Mobile Data,36-50,2,2
50,Male,Brazil,66403,False,Students,Instagram,46,7,6057,2,1,12,12,Evening,6,4,Boredom,Computer,Android,,8,Commuting,Mobile Data,36-50,2,2
33,Male,India,20162,True,Labor/Worker,Instagram,96,4,3749,9,15,22,55,Night,3,7,Boredom,Tablet,iOS,,5,Commuting,Mobile Data,26-35,5,5
54,Male,United States,34939,True,driver,Facebook,187,8,8667,1,2,1,7,Evening,6,4,Habit,Smartphone,Android,,8,At home,Mobile Data,50+,2,2
31,Female,United States,54773,True,Cashier,Instagram,21,8,279,4,9,39,94,Night,8,2,Boredom,Computer,Android,,10,Commuting,Wi-Fi,26-35,0,0
35,Male,India,22336,True,Waiting staff,Facebook,85,19,5733,9,11,28,14,Afternoon,5,5,Boredom,Smartphone,Android,,7,At work,Mobile Data,26-35,3,3
